Date Time,Temperature
2021-06-11 01:00:00,16.1
2021-06-11 02:00:00,16.0
2021-06-11 03:00:00,16.0
2021-06-11 04:00:00,15.9
2021-06-11 05:00:00,16.3
2021-06-11 06:00:00,15.8
2021-06-11 07:00:00,15.8
2021-06-11 08:00:00,15.9
2021-06-11 09:00:00,16.1
2021-06-11 10:00:00,16.5
2021-06-11 11:00:00,17.0
2021-06-11 12:00:00,16.2
2021-06-11 13:00:00,15.8
2021-06-11 14:00:00,16.4
2021-06-11 15:00:00,15.8
2021-06-11 16:00:00,16.2
2021-06-11 17:00:00,15.5
2021-06-11 18:00:00,15.1
2021-06-11 19:00:00,14.7
2021-06-11 20:00:00,13.8
2021-06-11 21:00:00,13.1
2021-06-11 22:00:00,13.2
2021-06-11 23:00:00,12.4
2021-06-12 00:00:00,12.2
2021-06-12 01:00:00,12.1
2021-06-12 02:00:00,11.8
2021-06-12 03:00:00,11.8
2021-06-12 04:00:00,12.1
2021-06-12 05:00:00,12.3
2021-06-12 06:00:00,12.5
2021-06-12 07:00:00,12.3
2021-06-12 08:00:00,12.3
2021-06-12 09:00:00,13.4
2021-06-12 10:00:00,13.4
2021-06-12 11:00:00,13.5
2021-06-12 12:00:00,14.4
2021-06-12 13:00:00,13.7
2021-06-12 14:00:00,14.1
2021-06-12 15:00:00,13.8
2021-06-12 16:00:00,13.8
2021-06-12 17:00:00,12.5
2021-06-12 18:00:00,12.3
2021-06-12 19:00:00,12.4
2021-06-12 20:00:00,11.5
2021-06-12 21:00:00,11.8
2021-06-12 22:00:00,12.0
2021-06-12 23:00:00,11.8
2021-06-13 00:00:00,11.5
2021-06-13 01:00:00,11.9
2021-06-13 02:00:00,11.5
2021-06-13 03:00:00,10.8
2021-06-13 04:00:00,10.9
2021-06-13 05:00:00,11.2
2021-06-13 06:00:00,11.6
2021-06-13 07:00:00,12.2
2021-06-13 08:00:00,12.8
2021-06-13 09:00:00,13.3
2021-06-13 10:00:00,13.4
2021-06-13 11:00:00,13.5
2021-06-13 12:00:00,14.3
2021-06-13 13:00:00,14.4
2021-06-13 14:00:00,14.5
2021-06-13 15:00:00,14.3
2021-06-13 16:00:00,14.5
2021-06-13 17:00:00,14.9
2021-06-13 18:00:00,13.7
2021-06-13 19:00:00,13.9
2021-06-13 20:00:00,14.1
2021-06-13 21:00:00,13.8
2021-06-13 22:00:00,13.9
2021-06-13 23:00:00,14.2
2021-06-14 00:00:00,14.5
